Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:49,
Prep Recipe Name,Fried Chicken Tender,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Main,,1 ea,1 ea,1 Days,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$1.2231501116072065,$0.00,$1.2231501116072065,$1.2231501116072065/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Tenders",Product,4 oz,100%,100%,$1.0025,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,1 oz,100%,100%,$0.1185625,,
"Dairy, Milk, Whole",Product,1 fl oz,100%,100%,$0.0499804687500637,,
"Dry Goods, Oil, Canola, Clear, Frying",Product,1 oz,100%,100%,$0.0521071428571429,,