Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 11:36,
Prep Recipe Name,Hot Honey Sauce,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,, ,8 lb,7 Days,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$23.20644127340041,$0.00,$23.20644127340041,$2.9008051591750514,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Sauce, Tomato Ketchup, Jug",Product,32 oz,100%,100%,$1.96210526315789,,
"Dry Goods, Honey, Natural",Product,48 oz,100%,100%,$11.262,,
"Dry Goods, Sambal Chill Sauce (wt)",Product,32 oz,100%,100%,$8.37839851024208,,
Dry Good.SAUCE SOY,Product,12 fl oz,100%,100%,$0.345937500000441,,
Garlic Salt,Product,2 oz,100%,100%,$0,,
"Dry Goods, Onion Powder",Product,2 oz,100%,100%,$1.258,,