Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:56,
Recipe Name,Nashville Hot Chicken,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea,3 mins,9 mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$15.75,80.97769974668209%,$2.996012289897569,19.022300253317898%,$0.00,0.00%,$2.996012289897569,$2.996012289897569/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Thighs",Product,7 oz,100%,100%,$1.404375,,
"Dry Goods, Bread, Texas Toast",Product,2 slice,100%,100%,$0.438,,
Onion Ranch,PrepRecipe,2 oz,100%,100%,$0.14511454613097255,,
Kale Kimchi Recipe,PrepRecipe,3 oz,100%,100%,$0.15674058437506294,,
"Dairy,  Clarified Butter",Product,0.5 oz,100%,100%,$0.162765625,,
French Fries Recipe,PrepRecipe,1 ea,100%,100%,$0.6890165343915332,,