Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:17,
Recipe Name,Comeback Sauce - Portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,69.70787037033199%,$0.30292129629668,30.292129629668%,$0.00,0.00%,$0.30292129629668,$0.30292129629668/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Comeback sauce,PrepRecipe,2 oz,100%,100%,$0.30292129629668,,