Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:32,
Prep Recipe Name,Onion Ranch,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,, ,10 qt,2 Days,100%,1 hrs,10 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$23.31832738095561,$0.00,$23.31832738095561,$2.331832738095561,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Produce, Onions, Yellow",Product,5 lb,100%,100%,$1.995,,
"Dairy, Egg",Product,40 each,100%,100%,$13,,
"Dry Goods, Vinegar, White",Product,3 qt,100%,100%,$2.53750000000323,,
"Dry Goods, Black Pepper, Ground",Product,3 oz,100%,100%,$1.490625,,
"Dry Goods, Oil, Canola, Salad",Product,3 lb,100%,100%,$3.77228571428571,,
"Dry Goods, Salt, Kosher",Product,3 oz,100%,100%,$0.522916666666667,,