Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:13,
Recipe Name,French Fries - Portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,89.46041005291008%,$0.5269794973544961,10.539589947089922%,$0.00,0.00%,$0.5269794973544961,$0.5269794973544961/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
French Fries Recipe,PrepRecipe,5 oz,100%,100%,$0.5269794973544961,,