Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:23,
Recipe Name,S-02 J-Blaze Chicken,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 , mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$13,74.1414961067193%,$3.361605506126491,25.858503893280698%,$0.00,0.00%,$3.361605506126491,$3.361605506126491
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Thighs",Product,8 oz,100%,100%,$1.88,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,3 oz,100%,100%,$0.3556875,,
Hot Honey - 2025,PrepRecipe,2 oz,100%,100%,$0.1635030954121045,,
Kale Kimchi Recipe,PrepRecipe,3 oz,100%,100%,$0.2382006250001007,,
"Dry Goods, Bread,  Burger Bun",Product,1 each,100%,100%,$0.62,,
"Dry Goods, Oil, Canola, Clear, Frying",Product,2 oz,100%,100%,$0.104214285714286,,